Name,Age,Gender,Class,Fare,Survival
"Frauenthal, Mr. Isaac Gerald",43,Male,1st,27.72,Survived
"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",,Female,1st,133.65,Survived
"Frolicher, Miss. Hedwig Margaritha",22,Female,1st,49.5,Survived
"Frolicher-Stehli, Mr. Maxmillian",60,Male,1st,79.2,Survived
"Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)",48,Female,1st,79.2,Survived
"Fry, Mr. Richard",,Male,1st,0,Died
"Futrelle, Mr. Jacques Heath",37,Male,1st,53.1,Died
"Futrelle, Mrs. Jacques Heath (Lily May Peel)",35,Female,1st,53.1,Survived
"Gee, Mr. Arthur H",47,Male,1st,38.5,Died
"Geiger, Miss. Amalie",35,Female,1st,211.5,Survived
"Gibson, Miss. Dorothy Winifred",22,Female,1st,59.4,Survived
"Gibson, Mrs. Leonard (Pauline C Boeson)",45,Female,1st,59.4,Survived
"Giglio, Mr. Victor",24,Male,1st,79.2,Died
"Goldenberg, Mr. Samuel L",49,Male,1st,89.1,Survived
"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",,Female,1st,89.1,Survived
"Goldschmidt, Mr. George B",71,Male,1st,34.65,Died
"Gracie, Col. Archibald IV",53,Male,1st,28.5,Survived
"Graham, Miss. Margaret Edith",19,Female,1st,30,Survived
"Graham, Mr. George Edward",38,Male,1st,153.46,Died
"Graham, Mrs. William Thompson (Edith Junkins)",58,Female,1st,153.46,Survived
"Greenfield, Mr. William Bertram",23,Male,1st,63.36,Survived
"Greenfield, Mrs. Leo David (Blanche Strouse)",45,Female,1st,63.36,Survived
"Guggenheim, Mr. Benjamin",46,Male,1st,79.2,Died
"Harder, Mr. George Achilles",25,Male,1st,55.44,Survived
"Harder, Mrs. George Achilles (Dorothy Annan)",25,Female,1st,55.44,Survived
"Harper, Mr. Henry Sleeper",48,Male,1st,76.73,Survived
"Harper, Mrs. Henry Sleeper (Myna Haxtun)",49,Female,1st,76.73,Survived
"Harrington, Mr. Charles H",,Male,1st,42.4,Died
"Harris, Mr. Henry Birkhardt",45,Male,1st,83.48,Died
"Harris, Mrs. Henry Birkhardt (Irene Wallach)",35,Female,1st,83.48,Survived
"Harrison, Mr. William",40,Male,1st,0,Died
"Hassab, Mr. Hammad",27,Male,1st,76.73,Survived
"Hawksford, Mr. Walter James",,Male,1st,30,Survived
"Hays, Miss. Margaret Bechstein",24,Female,1st,83.16,Survived
"Hays, Mr. Charles Melville",55,Male,1st,93.5,Died
"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",52,Female,1st,93.5,Survived
"Head, Mr. Christopher",42,Male,1st,42.5,Died
"Hilliard, Mr. Herbert Henry",,Male,1st,51.86,Died
"Hipkins, Mr. William Edward",55,Male,1st,50,Died
"Hippach, Miss. Jean Gertrude",16,Female,1st,57.98,Survived
"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",44,Female,1st,57.98,Survived
"Hogeboom, Mrs. John C (Anna Andrews)",51,Female,1st,77.96,Survived
"Holverson, Mr. Alexander Oskar",42,Male,1st,52,Died
"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",35,Female,1st,52,Survived
"Homer, Mr. Harry (""Mr E Haven"")",35,Male,1st,26.55,Survived
"Hoyt, Mr. Frederick Maxfield",38,Male,1st,90,Survived
"Hoyt, Mr. William Fisher",,Male,1st,30.7,Died
"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",35,Female,1st,90,Survived
"Icard, Miss. Amelie",38,Female,1st,80,Survived
"Isham, Miss. Ann Elizabeth",50,Female,1st,28.71,Died
"Ismay, Mr. Joseph Bruce",49,Male,1st,0,Survived
"Jones, Mr. Charles Cresson",46,Male,1st,26,Died
"Julian, Mr. Henry Forbes",50,Male,1st,26,Died
"Keeping, Mr. Edwin",33,Male,1st,211.5,Died
"Kent, Mr. Edward Austin",58,Male,1st,29.7,Died
"Kenyon, Mr. Frederick R",41,Male,1st,51.86,Died
"Kenyon, Mrs. Frederick R (Marion)",,Female,1st,51.86,Survived
"Kimball, Mr. Edwin Nelson Jr",42,Male,1st,52.55,Survived
"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)",45,Female,1st,52.55,Survived
"Klaber, Mr. Herman",,Male,1st,26.55,Died
"Kreuchen, Miss. Emilie",39,Female,1st,211.34,Survived
"Leader, Dr. Alice (Farnham)",49,Female,1st,25.93,Survived
"LeRoy, Miss. Bertha",30,Female,1st,106.43,Survived
"Lesurer, Mr. Gustave J",35,Male,1st,512.33,Survived
"Lewy, Mr. Ervin G",,Male,1st,27.72,Died
"Lindeberg-Lind, Mr. Erik Gustaf (""Mr Edward Lingrey"")",42,Male,1st,26.55,Died
"Lindstrom, Mrs. Carl Johan (Sigrid Posse)",55,Female,1st,27.72,Survived
"Lines, Miss. Mary Conover",16,Female,1st,39.4,Survived
"Lines, Mrs. Ernest H (Elizabeth Lindsey James)",51,Female,1st,39.4,Survived
"Long, Mr. Milton Clyde",29,Male,1st,30,Died
"Longley, Miss. Gretchen Fiske",21,Female,1st,77.96,Survived
"Loring, Mr. Joseph Holland",30,Male,1st,45.5,Died
"Lurette, Miss. Elise",58,Female,1st,146.52,Survived
"Madill, Miss. Georgette Alexandra",15,Female,1st,211.34,Survived
"Maguire, Mr. John Edward",30,Male,1st,26,Died
"Maioni, Miss. Roberta",16,Female,1st,86.5,Survived
"Marechal, Mr. Pierre",,Male,1st,29.7,Survived
"Marvin, Mr. Daniel Warner",19,Male,1st,53.1,Died
"Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)",18,Female,1st,53.1,Survived
"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",24,Female,1st,49.5,Survived
"McCaffry, Mr. Thomas Francis",46,Male,1st,75.24,Died
"McCarthy, Mr. Timothy J",54,Male,1st,51.86,Died
"McGough, Mr. James Robert",36,Male,1st,26.29,Survived
"Meyer, Mr. Edgar Joseph",28,Male,1st,82.17,Died
"Meyer, Mrs. Edgar Joseph (Leila Saks)",,Female,1st,82.17,Survived
"Millet, Mr. Francis Davis",65,Male,1st,26.55,Died
"Minahan, Dr. William Edward",44,Male,1st,90,Died
"Minahan, Miss. Daisy E",33,Female,1st,90,Survived
"Minahan, Mrs. William Edward (Lillian E Thorpe)",37,Female,1st,90,Survived
"Mock, Mr. Philipp Edmund",30,Male,1st,57.75,Survived
"Molson, Mr. Harry Markland",55,Male,1st,30.5,Died
"Moore, Mr. Clarence Bloomfield",47,Male,1st,42.4,Died
"Natsch, Mr. Charles H",37,Male,1st,29.7,Died
"Newell, Miss. Madeleine",31,Female,1st,113.28,Survived
"Newell, Miss. Marjorie",23,Female,1st,113.28,Survived
"Newell, Mr. Arthur Webster",58,Male,1st,113.28,Died
"Newsom, Miss. Helen Monypeny",19,Female,1st,26.28,Survived
"Nicholson, Mr. Arthur Ernest",64,Male,1st,26,Died
"Oliva y Ocana, Dona. Fermina",39,Female,1st,108.9,Survived
"Omont, Mr. Alfred Fernand",,Male,1st,25.74,Survived
"Ostby, Miss. Helene Ragnhild",22,Female,1st,61.98,Survived
"Ostby, Mr. Engelhart Cornelius",65,Male,1st,61.98,Died
"Ovies y Rodriguez, Mr. Servando",29,Male,1st,27.72,Died
"Parr, Mr. William Henry Marsh",,Male,1st,0,Died
"Partner, Mr. Austen",46,Male,1st,28.5,Died
"Payne, Mr. Vivian Ponsonby",23,Male,1st,93.5,Died
"Pears, Mr. Thomas Clinton",29,Male,1st,66.6,Died
"Pears, Mrs. Thomas (Edith Wearne)",22,Female,1st,66.6,Survived
"Penasco y Castellana, Mr. Victor de Satode",18,Male,1st,108.9,Died
"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",17,Female,1st,108.9,Survived
"Perreault, Miss. Anne",30,Female,1st,93.5,Survived
"Peuchen, Major. Arthur Godfrey",52,Male,1st,30.5,Survived
"Porter, Mr. Walter Chamberlain",47,Male,1st,52,Died
"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",56,Female,1st,83.16,Survived
"Reuchlin, Jonkheer. John George",38,Male,1st,0,Died
"Rheims, Mr. George Alexander Lucien",,Male,1st,39.6,Survived
"Ringhini, Mr. Sante",22,Male,1st,135.63,Died
"Robbins, Mr. Victor",,Male,1st,227.53,Died
"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",43,Female,1st,211.34,Survived
"Roebling, Mr. Washington Augustus II",31,Male,1st,50.5,Died
"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",45,Male,1st,26.55,Survived
"Rood, Mr. Hugh Roscoe",,Male,1st,50,Died
"Rosenbaum, Miss. Edith Louise",33,Female,1st,27.72,Survived
"Rosenshine, Mr. George (""Mr George Thorne"")",46,Male,1st,79.2,Died
"Ross, Mr. John Hugo",36,Male,1st,40.13,Died
"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",33,Female,1st,86.5,Survived
"Rothschild, Mr. Martin",55,Male,1st,59.4,Died
"Rothschild, Mrs. Martin (Elizabeth L. Barrett)",54,Female,1st,59.4,Survived
"Rowe, Mr. Alfred G",33,Male,1st,26.55,Died
"Ryerson, Master. John Borie",13,Male,1st,262.38,Survived
"Ryerson, Miss. Emily Borie",18,Female,1st,262.38,Survived
"Ryerson, Miss. Susan Parker ""Suzette""",21,Female,1st,262.38,Survived
"Ryerson, Mr. Arthur Larned",61,Male,1st,262.38,Died
"Ryerson, Mrs. Arthur Larned (Emily Maria Borie)",48,Female,1st,262.38,Survived
"Saalfeld, Mr. Adolphe",,Male,1st,30.5,Survived
"Sagesser, Mlle. Emma",24,Female,1st,69.3,Survived
"Salomon, Mr. Abraham L",,Male,1st,26,Survived
"Schabert, Mrs. Paul (Emma Mock)",35,Female,1st,57.75,Survived
"Serepeca, Miss. Augusta",30,Female,1st,31,Survived
"Seward, Mr. Frederic Kimber",34,Male,1st,26.55,Survived
"Shutes, Miss. Elizabeth W",40,Female,1st,153.46,Survived
"Silverthorne, Mr. Spencer Victor",35,Male,1st,26.29,Survived
"Silvey, Mr. William Baird",50,Male,1st,55.9,Died
"Silvey, Mrs. William Baird (Alice Munger)",39,Female,1st,55.9,Survived
"Simonius-Blumer, Col. Oberst Alfons",56,Male,1st,35.5,Survived
"Sloper, Mr. William Thompson",28,Male,1st,35.5,Survived
"Smart, Mr. John Montgomery",56,Male,1st,26.55,Died
"Smith, Mr. James Clinch",56,Male,1st,30.7,Died
"Smith, Mr. Lucien Philip",24,Male,1st,60,Died
"Smith, Mr. Richard William",,Male,1st,26,Died
"Smith, Mrs. Lucien Philip (Mary Eloise Hughes)",18,Female,1st,60,Survived
"Snyder, Mr. John Pillsbury",24,Male,1st,82.27,Survived
"Snyder, Mrs. John Pillsbury (Nelle Stevenson)",23,Female,1st,82.27,Survived
"Spedden, Master. Robert Douglas",6,Male,1st,134.5,Survived
"Spedden, Mr. Frederic Oakley",45,Male,1st,134.5,Survived
"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",40,Female,1st,134.5,Survived
"Spencer, Mr. William Augustus",57,Male,1st,146.52,Died
"Spencer, Mrs. William Augustus (Marie Eugenie)",,Female,1st,146.52,Survived
"Stahelin-Maeglin, Dr. Max",32,Male,1st,30.5,Survived
"Stead, Mr. William Thomas",62,Male,1st,26.55,Died
"Stengel, Mr. Charles Emil Henry",54,Male,1st,55.44,Survived
"Stengel, Mrs. Charles Emil Henry (Annie May Morris)",43,Female,1st,55.44,Survived
"Stephenson, Mrs. Walter Bertram (Martha Eustis)",52,Female,1st,78.27,Survived
"Stewart, Mr. Albert A",,Male,1st,27.72,Died
"Stone, Mrs. George Nelson (Martha Evelyn)",62,Female,1st,80,Survived
"Straus, Mr. Isidor",67,Male,1st,221.78,Died
"Straus, Mrs. Isidor (Rosalie Ida Blun)",63,Female,1st,221.78,Died
"Sutton, Mr. Frederick",61,Male,1st,32.32,Died
"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",48,Female,1st,25.93,Survived
"Taussig, Miss. Ruth",18,Female,1st,79.65,Survived
"Taussig, Mr. Emil",52,Male,1st,79.65,Died
"Taussig, Mrs. Emil (Tillie Mandelbaum)",39,Female,1st,79.65,Survived
"Taylor, Mr. Elmer Zebley",48,Male,1st,52,Survived
"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)",,Female,1st,52,Survived
"Thayer, Mr. John Borland",49,Male,1st,110.88,Died
"Thayer, Mr. John Borland Jr",17,Male,1st,110.88,Survived
"Thayer, Mrs. John Borland (Marian Longstreth Morris)",39,Female,1st,110.88,Survived
"Thorne, Mrs. Gertrude Maybelle",,Female,1st,79.2,Survived
"Tucker, Mr. Gilbert Milligan Jr",31,Male,1st,28.54,Survived
"Uruchurtu, Don. Manuel E",40,Male,1st,27.72,Died
"Van der hoef, Mr. Wyckoff",61,Male,1st,33.5,Died
"Walker, Mr. William Anderson",47,Male,1st,34.02,Died
"Ward, Miss. Anna",35,Female,1st,512.33,Survived
"Warren, Mr. Frank Manley",64,Male,1st,75.25,Died
"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",60,Female,1st,75.25,Survived
"Weir, Col. John",60,Male,1st,26.55,Died
"White, Mr. Percival Wayland",54,Male,1st,77.29,Died
"White, Mr. Richard Frasar",21,Male,1st,77.29,Died
"White, Mrs. John Stuart (Ella Holmes)",55,Female,1st,135.63,Survived
"Wick, Miss. Mary Natalie",31,Female,1st,164.87,Survived
"Wick, Mr. George Dennick",57,Male,1st,164.87,Died
"Wick, Mrs. George Dennick (Mary Hitchcock)",45,Female,1st,164.87,Survived
"Widener, Mr. George Dunton",50,Male,1st,211.5,Died
"Widener, Mr. Harry Elkins",27,Male,1st,211.5,Died
"Widener, Mrs. George Dunton (Eleanor Elkins)",50,Female,1st,211.5,Survived
"Willard, Miss. Constance",21,Female,1st,26.55,Survived
"Williams, Mr. Charles Duane",51,Male,1st,61.38,Died
"Williams, Mr. Richard Norris II",21,Male,1st,61.38,Survived
"Williams-Lambert, Mr. Fletcher Fellows",,Male,1st,35,Died
"Wilson, Miss. Helen Alice",31,Female,1st,134.5,Survived
"Woolner, Mr. Hugh",,Male,1st,35.5,Survived
"Wright, Mr. George",62,Male,1st,26.55,Died
"Young, Miss. Marie Grice",36,Female,1st,135.63,Survived
"Abelson, Mr. Samuel",30,Male,2nd,24,Died
"Abelson, Mrs. Samuel (Hannah Wizosky)",28,Female,2nd,24,Survived
"Aldworth, Mr. Charles Augustus",30,Male,2nd,13,Died
"Andrew, Mr. Edgardo Samuel",18,Male,2nd,11.5,Died
"Andrew, Mr. Frank Thomas",25,Male,2nd,10.5,Died
"Angle, Mr. William A",34,Male,2nd,26,Died
"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)",36,Female,2nd,26,Survived
"Ashby, Mr. John",57,Male,2nd,13,Died
"Bailey, Mr. Percy Andrew",18,Male,2nd,11.5,Died
"Baimbrigge, Mr. Charles Robert",23,Male,2nd,10.5,Died
"Ball, Mrs. (Ada E Hall)",36,Female,2nd,13,Survived
"Banfield, Mr. Frederick James",28,Male,2nd,10.5,Died
"Bateman, Rev. Robert James",51,Male,2nd,12.53,Died
"Beane, Mr. Edward",32,Male,2nd,26,Survived
"Beane, Mrs. Edward (Ethel Clarke)",19,Female,2nd,26,Survived
"Beauchamp, Mr. Henry James",28,Male,2nd,26,Died
"Becker, Master. Richard F",1,Male,2nd,39,Survived
"Becker, Miss. Marion Louise",4,Female,2nd,39,Survived
"Becker, Miss. Ruth Elizabeth",12,Female,2nd,39,Survived
"Becker, Mrs. Allen Oliver (Nellie E Baumgardner)",36,Female,2nd,39,Survived
"Beesley, Mr. Lawrence",34,Male,2nd,13,Survived
"Bentham, Miss. Lilian W",19,Female,2nd,13,Survived
"Berriman, Mr. William John",23,Male,2nd,13,Died
"Botsford, Mr. William Hull",26,Male,2nd,13,Died
"Bowenur, Mr. Solomon",42,Male,2nd,13,Died
"Bracken, Mr. James H",27,Male,2nd,13,Died
"Brown, Miss. Amelia ""Mildred""",24,Female,2nd,13,Survived
"Brown, Miss. Edith Eileen",15,Female,2nd,39,Survived
"Brown, Mr. Thomas William Solomon",60,Male,2nd,39,Died
"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",40,Female,2nd,39,Survived
"Bryhl, Miss. Dagmar Jenny Ingeborg",20,Female,2nd,26,Survived
"Bryhl, Mr. Kurt Arnold Gottfrid",25,Male,2nd,26,Died
"Buss, Miss. Kate",36,Female,2nd,13,Survived
"Butler, Mr. Reginald Fenton",25,Male,2nd,13,Died
"Byles, Rev. Thomas Roussel Davids",42,Male,2nd,13,Died
"Bystrom, Mrs. (Karolina)",42,Female,2nd,13,Survived
"Caldwell, Master. Alden Gates",1,Male,2nd,29,Survived
"Caldwell, Mr. Albert Francis",26,Male,2nd,29,Survived
"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",22,Female,2nd,29,Survived
"Cameron, Miss. Clear Annie",35,Female,2nd,21,Survived
"Campbell, Mr. William",,Male,2nd,0,Died
"Carbines, Mr. William",19,Male,2nd,13,Died
"Carter, Mrs. Ernest Courtenay (Lilian Hughes)",44,Female,2nd,26,Died
"Carter, Rev. Ernest Courtenay",54,Male,2nd,26,Died
"Chapman, Mr. Charles Henry",52,Male,2nd,13.5,Died
"Chapman, Mr. John Henry",37,Male,2nd,26,Died
"Chapman, Mrs. John Henry (Sara Elizabeth Lawry)",29,Female,2nd,26,Died
"Christy, Miss. Julie Rachel",25,Female,2nd,30,Survived
"Christy, Mrs. (Alice Frances)",45,Female,2nd,30,Survived
"Clarke, Mr. Charles Valentine",29,Male,2nd,26,Died
"Clarke, Mrs. Charles V (Ada Maria Winfield)",28,Female,2nd,26,Survived
"Coleridge, Mr. Reginald Charles",29,Male,2nd,10.5,Died
"Collander, Mr. Erik Gustaf",28,Male,2nd,13,Died
"Collett, Mr. Sidney C Stuart",24,Male,2nd,10.5,Survived
"Collyer, Miss. Marjorie ""Lottie""",8,Female,2nd,26.25,Survived
"Collyer, Mr. Harvey",31,Male,2nd,26.25,Died
"Collyer, Mrs. Harvey (Charlotte Annie Tate)",31,Female,2nd,26.25,Survived
"Cook, Mrs. (Selena Rogers)",22,Female,2nd,10.5,Survived
"Corbett, Mrs. Walter H (Irene Colvin)",30,Female,2nd,13,Died
"Corey, Mrs. Percy C (Mary Phyllis Elizabeth Miller)",,Female,2nd,21,Died
"Cotterill, Mr. Henry ""Harry""",21,Male,2nd,11.5,Died
"Cunningham, Mr. Alfred Fleming",,Male,2nd,0,Died
"Davies, Master. John Morgan Jr",8,Male,2nd,36.75,Survived
"Davies, Mr. Charles Henry",18,Male,2nd,73.5,Died
"Davies, Mrs. John Morgan (Elizabeth Agnes Mary White)",48,Female,2nd,36.75,Survived
"Davis, Miss. Mary",28,Female,2nd,13,Survived
"de Brito, Mr. Jose Joaquim",32,Male,2nd,13,Died
"Deacon, Mr. Percy William",17,Male,2nd,73.5,Died
"del Carlo, Mr. Sebastiano",29,Male,2nd,27.72,Died
"del Carlo, Mrs. Sebastiano (Argenia Genovesi)",24,Female,2nd,27.72,Survived
